"","W_st","R_eq_sen","R0_sen","R_eq_res","R0_res","No_trt_cat","Incidence","Vector_no","Prob_onward_tran","Risk","prevalence","vector_birth","vector_mortality","fit.adj"
"R0s72",0,0.0402184572410084,0.0402184572409637,1.03603592676584,1.03603592676468,9.21445172783706e-78,8.1455258039571e-78,5000,0.645141417052203,5.94462444505593e-78,1.22489454996449e-81,0.15,0.15,0.9
"R0s73",0,0.0287655441224491,0.028765544122432,1.0360359267653,1.03603592676468,5.4154266757914e-81,4.97928779564579e-81,5000,0.645141417052013,3.49371603956133e-81,4.75024798617043e-85,0.15,0.15,0.9
"R0s74",0,0.0173126310039279,0.0173126310039003,1.03603592676634,1.03603592676468,2.13457328037694e-84,2.04523508564709e-84,5000,0.645141417052382,1.37710163090453e-84,9.2673498190202e-89,0.15,0.15,0.9
"R0s75",50,1.00000000000001,31.5173563110302,0.900000000000008,28.3656206799272,0,113.668662141601,5000,0.593430340259404,0,0.488562839494929,0.03,0.03,0.9
"R0s76",50,1.00000000000001,28.3611692765867,1.00555130037088,28.3656206799272,24.5480541201627,122.740270600813,5000,0.634157110122776,15.5673230599799,0.422043043317657,0.03,0.03,0.9
"R0s77",50,1.00000000000001,25.2049822421432,1.1514496529829,28.3656206799272,53.2948795186316,133.237198796579,5000,0.683821911513784,36.4442063863275,0.343602588139817,0.03,0.03,0.9
"R0s78",50,0.999999999999996,22.0487952076998,1.36594918034761,28.3656206799272,87.2350942195775,145.391823699295,5000,0.744861611325362,64.9780728445142,0.249965261797086,0.03,0.03,0.9
"R0s79",50,0.999999999999993,18.8926081732563,1.71098235827175,28.3656206799272,127.414702314717,159.268377893396,5000,0.819311795148646,104.392368481801,0.136911281402108,0.03,0.03,0.9
"R0s80",50,0.99999999999998,17.3145146560346,1.97506726376579,28.3656206799272,150.012833648937,166.680926276597,5000,0.861248021051552,129.198256112483,0.0716416513549657,0.03,0.03,0.9
"R0s81",50,0.999999999999998,17.1567053043124,2.00664906384154,28.3656206799272,152.358732666236,167.427178754105,5000,0.86556158473124,131.87586609423,0.0647661604241885,0.03,0.03,0.9
"R0s82",50,0.999999999999995,16.9988959525902,2.03936930674557,28.3656206799272,154.71887882465,168.17269437462,5000,0.869889255024284,134.588290238967,0.0578262663014891,0.03,0.03,0.9
"R0s83",50,1,16.8410866008681,2.07328848703991,28.3656206799272,157.092748477594,168.916933846875,5000,0.874228497054214,137.334957399682,0.0508219017439833,0.03,0.03,0.9
"R0s84",50,1.00000000000001,16.6832772491459,2.10847128652798,28.3656206799272,159.479749866335,169.659308368441,5000,0.87857655371736,140.115169025271,0.0437530794582454,0.03,0.03,0.9
"R0s85",50,1,16.5254678974237,2.14498692486503,28.3656206799272,161.879216340052,170.399175094791,5000,0.882930432265482,142.928086457919,0.0366199017668551,0.03,0.03,0.9
"R0s86",50,0.999999999999999,16.3676585457015,2.18290954371999,28.3656206799272,164.290398871657,171.135832157976,5000,0.887286890625422,145.772717174443,0.0294225713659839,0.03,0.03,0.9
"R0s87",50,0.999999999999936,16.2098491939794,2.22231862794802,28.3656206799272,166.712457791657,171.868513187276,5000,0.891642423572463,148.647899905075,0.0221614033033868,0.03,0.03,0.9
"R0s88",50,1,16.0520398422572,2.26329946758479,28.3656206799272,169.144453653539,172.596381279122,5000,0.895993248906267,151.55228856351,0.0148368383221107,0.03,0.03,0.9
"R0s89",50,0.999999999999963,15.894230490535,2.30594366484581,28.3656206799272,171.585337134641,173.318522358223,5000,0.900335293815814,154.484334923602,0.0074494577331186,0.03,0.03,0.9
"R0s90",50,0.999999999999998,8.64854594120743,0.899999999999998,7.78369134708669,0,103.513673641349,5000,0.5934303402594,0,0.444915365131764,0.06,0.06,0.9
"R0s91",50,0.999999999999998,7.7824698561116,1.00501519567752,7.78369134708669,22.0084281871426,110.042140935713,5000,0.633960927449953,13.9524835452366,0.378380460026385,0.06,0.06,0.9
"R0s92",50,0.999999999999991,6.91639377101576,1.14845213916814,7.78369134708669,46.7548695779889,116.887173944972,5000,0.682872741461148,31.9276259653797,0.301437855573354,0.06,0.06,0.9
"R0s93",50,0.999999999999986,6.05031768591992,1.3548654991875,7.78369134708669,74.1187702643113,123.531283773852,5000,0.742018009094189,54.9974623480338,0.21238147306361,0.06,0.06,0.9
"R0s94",50,1,5.18424160082409,1.67298341786195,7.78369134708669,102.863807854752,128.57975981844,5000,0.8123137170788,83.5576821113731,0.110530539156372,0.06,0.06,0.9
"R0s95",50,0.999999999999995,4.75120355827617,1.90282619983965,7.78369134708669,116.567217341365,129.519130379295,5000,0.85085349481475,99.1816242557311,0.0556690233832388,0.06,0.06,0.9
"R0s96",50,0.999999999999996,4.70789975402138,1.92945556045261,7.78369134708669,117.859216739248,129.515622790382,5000,0.854772755580975,100.742847462822,0.050100764197909,0.06,0.06,0.9
"R0s97",50,1.00000000000003,4.66459594976658,1.95684655725215,7.78369134708669,119.131259737698,129.49049971489,5000,0.858696689014027,102.297618294832,0.0445253740381065,0.06,0.06,0.9
"R0s98",50,1,4.62129214551179,1.98502697637946,7.78369134708669,120.381657904273,129.44264290782,5000,0.862623091864635,103.843997945175,0.0389453036443716,0.06,0.06,0.9
"R0s99",50,0.999999999999999,4.577988341257,2.01402559465548,7.78369134708669,121.608633408424,129.370886604706,5000,0.866549625208335,105.379915702167,0.0333631837571033,0.06,0.06,0.9
"R0s100",50,0.999999999999996,4.53468453700221,2.04387218823801,7.78369134708669,122.810315799013,129.27401663054,5000,0.870473811208489,106.903163649285,0.0277818351373103,0.06,0.06,0.9
"R0s101",50,1.00000000000002,4.49138073274742,2.07459753611987,7.78369134708669,123.984738909184,129.150769697067,5000,0.874393030409817,108.411391579371,0.0222042788495395,0.06,0.06,0.9
"R0s102",50,0.999999999999807,4.44807692849262,2.10623341749906,7.78369134708669,125.12983794086,128.999832928722,5000,0.878304519672789,109.902102209381,0.0166337467555085,0.06,0.06,0.9
"R0s103",50,0.999999999999997,4.40477312423783,2.13881260194069,7.78369134708669,126.243446789873,128.819843663136,5000,0.882205370871496,111.372646795356,0.0110736921535951,0.06,0.06,0.9
"R0s104",50,1.00000000000001,4.36146931998304,2.17236883111358,7.78369134708669,127.323295682853,128.60938957864,5000,0.88609253048747,112.820221261624,0.0055278004838287,0.06,0.06,0.9
"R0s105",50,1.00000000000006,3.16428176521894,0.900000000000054,2.84785358869704,0,79.5945593274054,5000,0.593430340259423,0,0.342107870196451,0.09,0.09,0.9
"R0s106",50,1.00000000000025,2.84740667639003,1.00375161990837,2.84785358869704,16.1125456333324,80.5627281666753,5000,0.633498117010866,10.2072673189677,0.277015349624021,0.09,0.09,0.9
"R0s107",50,0.999999999998173,2.53053158756113,1.1414567276243,2.84785358869704,31.9236902484089,79.8092256209601,5000,0.68064652821543,21.7287489354043,0.20581832047284,0.09,0.09,0.9
"R0s108",50,1.00000000001856,2.21365649873222,1.32972723606399,2.84785358869704,45.5633852818684,75.9389754701883,5000,0.735450589001929,33.5096185424719,0.130558276256068,0.09,0.09,0.9
"R0s109",50,1.00000000065206,1.89678140990332,1.59303333750891,2.84785358869704,53.3712243691474,66.7140304671803,5000,0.796692026247078,42.5204288859435,0.0573491330720269,0.09,0.09,0.9
"R0s110",50,1.00000000871678,1.73834386548887,1.76176701687454,2.84785358869704,53.2960577991343,59.2178420205073,5000,0.828258873920613,44.1429328171189,0.0254526062775078,0.09,0.09,0.9
"R0s111",50,1.00000002338074,1.72250011104742,1.78016759122944,2.84785358869704,53.0937940049674,58.3448286406685,5000,0.831390112637713,44.1416553781534,0.0225696362780037,0.09,0.09,0.9
"R0s112",50,1.00000004098591,1.70665635660598,1.79885189387362,2.84785358869704,52.8527440716691,57.4486349677826,5000,0.834511222126285,44.1062080479764,0.019753742249623,0.09,0.09,0.9
"R0s113",50,1.00000004914796,1.69081260216453,1.81782042663642,2.84785358869704,52.5721241192307,56.529165842093,5000,0.837620716920502,44.0355002947836,0.0170078845290629,0.09,0.09,0.9
"R0s114",50,1.0000000157517,1.67496884772309,1.83707329276407,2.84785358869704,52.2511794185614,55.5863611422068,5000,0.840717080934365,43.9284590361507,0.0143350488497972,0.09,0.09,0.9
"R0s115",50,0.99999987425106,1.65912509328164,1.85661015119234,2.84785358869704,51.8891893453684,54.6201991619437,5000,0.843798767517123,43.7840340170845,0.0117382395316118,0.09,0.09,0.9
"R0s116",50,0.999999520769205,1.6432813388402,1.87643018932545,2.84785358869704,51.4854728610919,53.6307003637768,5000,0.846864203027094,43.6012039419817,0.00922047185940722,0.09,0.09,0.9
"R0s117",50,0.999998928100327,1.62743758439875,1.89653227990145,2.84785358869704,51.0393913375493,52.6179282651676,5000,0.849911818342473,43.3789818987897,0.00678476312312768,0.09,0.09,0.9
"R0s118",50,0.999999049814453,1.61159382995731,1.91691638546758,2.84785358869704,50.5503236388909,51.5819622074247,5000,0.852940260774432,43.1164062267875,0.00443412102945357,0.09,0.09,0.9
"R0s119",50,1.00000989423555,1.59575007551586,1.93759629832797,2.84785358869704,50.0173494859127,50.5225775899703,5000,0.855950213320084,42.8123609621722,0.00217152664172902,0.09,0.09,0.9
"R0s120",50,1.00101588032019,1.30244598947422,0.90091429228817,1.1722013905268,0,26.6572613135185,5000,0.593801893883716,0,0.114491896769781,0.12,0.12,0.9
"R0s121",50,1.01158054286799,1.172017437521,1.01248677643825,1.1722013905268,3.29170376809806,16.5737924387878,5000,0.6366856263627,2.09578047539198,0.0565927005532893,0.12,0.12,0.9
"R0s122",50,1.01739172661443,1.04158888556778,1.14556436379291,1.1722013905268,1.14293449971465,2.88070313375237,5000,0.681955625598159,0.779430611770621,0.00736872389474017,0.12,0.12,0.9
"R0s123",50,0.910694456480398,0.911160333614554,1.1716392048046,1.1722013905268,0.0353158995180069,0.0571505212843025,5000,0.690141396966764,0.0243729642284951,0.000101194916422031,0.12,0.12,0.9
"R0s124",50,0.780727475011828,0.780731781661332,1.17219580279308,1.1722013905268,0.000429432740663247,0.000517796199680541,5000,0.690313815653528,0.000296443353773798,4.61439580614501e-07,0.12,0.12,0.9
"R0s125",50,0.715517163720594,0.71551750568472,1.17220093468772,1.1722013905268,3.70993134491374e-05,4.02966229649561e-05,5000,0.69031540492632,2.56102275861297e-05,1.77175246609344e-08,0.12,0.12,0.9
"R0s126",50,0.708995818993095,0.708996078087059,1.17220104433679,1.1722013905268,2.83033225603551e-05,3.0461984975849e-05,5000,0.690315438882946,1.95382205350971e-05,1.20314569267072e-08,0.12,0.12,0.9
"R0s127",50,0.702474456005843,0.702474650489398,1.17220113006741,1.1722013905268,2.13869730907386e-05,2.28128992459451e-05,5000,0.690315465432393,1.47637582833233e-05,7.99339298941970e-09,0.12,0.12,0.9
"R0s128",50,0.695953078661748,0.695953222891737,1.17220119693582,1.1722013905268,1.596279391301e-05,1.68787698548148e-05,5000,0.690315486140505,1.10193638402202e-05,5.16420746131487e-09,0.12,0.12,0.9
"R0s129",50,0.689431690031702,0.689431795294075,1.17220124893059,1.1722013905268,1.17220058535769e-05,1.22891790609946e-05,5000,0.690315502242481,8.09188235810125e-06,3.21591834669558e-09,0.12,0.12,0.9
"R0s130",50,0.682910292545204,0.682910367696414,1.17220128922039,1.1722013905268,8.41866933597971e-06,8.75265430836621e-06,5000,0.690315514719606,5.81153805592099e-06,1.90444981796552e-09,0.12,0.12,0.9
"R0s131",50,0.676388888111506,0.676388940098753,1.17220132030078,1.1722013905268,5.85700299336543e-06,6.03992456936523e-06,5000,0.690315524344719,4.04318009245365e-06,1.04892367263468e-09,0.12,0.12,0.9
"R0s132",50,0.669867478241514,0.669867512501092,1.17220134415543,1.1722013905268,3.88124299885627e-06,3.97071810558372e-06,5000,0.690315531732136,2.67928232453709e-06,5.15940995384955e-10,0.12,0.12,0.9
"R0s133",50,0.663346064113913,0.663346084903431,1.17220136233208,1.1722013905268,2.36754092006865e-06,2.40335735907536e-06,5000,0.690315537361162,1.63435028246173e-06,2.07673506835704e-10,0.12,0.12,0.9
"R0s134",50,0.656824646665519,0.65682465730577,1.1722013760672,1.1722013905268,1.21749159182505e-06,1.22655787597559e-06,5000,0.690315541614715,8.40453367622072e-07,5.28579673833736e-11,0.12,0.12,0.9
"R0s135",50,0.571837992351339,0.571838011525961,0.514654193116205,0.514654210373365,0,2.13513149062967e-06,5000,0.402292749833676,0,1.40285444712945e-08,0.15,0.15,0.9
"R0s136",50,0.514573445182504,0.514573445933303,0.514654209630985,0.514654210373365,2.50392194122426e-08,8.25463742880955e-08,5000,0.402292759704679,1.00730966782021e-08,4.30487415064057e-10,0.15,0.15,0.9
"R0s137",50,0.457308880309391,0.457308880340645,0.514654210339974,0.514654210373365,1.89502837053738e-09,3.31595944070519e-09,5000,0.402292760128447,7.62356193705194e-10,1.22176212536026e-11,0.15,0.15,0.9
"R0s138",50,0.400044314746037,0.400044314747986,0.514654210371158,0.514654210373365,1.5242799099406e-10,1.9731624724828e-10,5000,0.402292760147086,6.13206772206755e-11,4.36770350452412e-13,0.15,0.15,0.9
